team_name,team_id,elo,matches_played
Tundra Esports,8291895,1957.38,246
Team Liquid,2163,1889.42,226
Team Yandex,9823272,1872.54,235
Aurora Gaming,9467224,1860.9,258
Team Spirit,7119388,1820.2,198
PARIVISION,9572001,1797.82,153
Uzumaki,9381131,1785.8,119
Xtreme Gaming,8261500,1774.22,212
Perú Rejects,9885130,1752.37,123
HEROIC,9303484,1750.48,194
BetBoom Team,8255888,1734.37,206
Yellow Submarine,2576071,1719.58,275
Team Falcons,9247354,1718.43,224
Рязань-ВДВ,9482900,1716.63,18
Natus Vincere,36,1713.56,171
_PowerRangers,55,1703.41,87
Somos Nós a Justiça,9744330,1700.61,19
GLYPH,10081680,1689.19,23
Zero Tenacity,9600141,1687.97,327
Team Sangre,8835624,1683.26,24
52turbo,9477537,1683.02,26
MOUZ,9338413,1680.95,305
Team Lynx,9928636,1677.54,153
L1GA TEAM,9303383,1673.29,315
Fortnite,9054352,1671.48,30
CHEFBRAND TEAM,9850048,1665.82,18
Vici Gaming,726228,1663.95,69
Reels Royce,6905300,1662.18,14
捕畜小分队,9824806,1645.76,19
WIN,9600942,1643.07,10
1w Team,9255039,1638.97,225
eSpoiled,9814008,1638.75,172
100MMR,9829468,1637.95,19
Estar Backs,9678463,1637.9,111
GamerLegion,9964962,1636.86,101
Стак который ебет,9818882,1636.23,14
Stariy_Bog,9957138,1633.35,12
Ягодки,9849484,1632.51,16
Team Yakuza,9824497,1631.25,59
BloodyRose,9729767,1630.97,196
Kalmychata,9850944,1627.69,64
Myth Avenue Gaming,9538207,1627.02,9
Nethercore,9593609,1626.91,571
Spartans,9033695,1624.02,9
loodowolfs,9949210,1623.35,40
Ghost Sheep,9636142,1623.25,64
Team stariy bog,10088088,1622.16,16
BULDOZER,9824555,1620.48,25
Rune Eaters,9895247,1619.68,288
TEAM NEXT LEVEL,9790546,1619.22,77
повер ренджерс,9455993,1618.47,42
teamMopsi,9867013,1616.91,13
paiN Gaming,67,1616.06,38
Ballas,9957513,1615.65,23
Rottweilas,10000352,1614.81,27
Ghost Sheep,8831040,1614.7,644
Unknown,8795162,1612.78,10
meow meow,8443160,1612.1,10
Elite Eclipse,9878408,1611.42,99
Nigma Galaxy,7554697,1610.45,161
OG,2586976,1610.22,211
Runa Team,9758040,1609.97,242
Dominion,9839211,1609.48,83
Ji est'',9834249,1608.79,12
Team Public,9956508,1608.76,48
Team Nemesis,9691969,1603.56,112
哈哈先生,9776488,1602.94,30
Team Yakuza,9819437,1602.36,7
Team Tea,9885667,1602.31,98
山东好男人,9849814,1602.21,13
YG,9261979,1601.68,9
Team Tidebound,9640842,1599.78,107
Unknown,8849837,1598.69,321
KPFU-1,9916737,1597.91,8
Yangon Galacticos,9546449,1596.44,36
Shinigami Gaming,9677506,1595.46,78
MBA,9476618,1595.12,18
Midas Club,7913999,1594.75,19
Eye Gaming,9860197,1593.03,30
chandogs,9973579,1592.67,8
BloodyRose,10095351,1592.41,9
Nova Pulse,9767998,1591.38,975
Chimpanzini Bananini,1725846,1591.21,18
Night Force,9768243,1590.56,1001
Dynamo,9887333,1589.11,23
Farmadores de Aura,8513223,1589.01,20
