rank,feature,importance
1,team_enc_diff,15.1784
2,dire_team_enc,4.8954
3,radiant_team_enc,2.4982
4,pick_order_5_hero,2.251
5,radiant_cheese_score,2.0841
6,dire_elo,1.9986
7,radiant_counter_score,1.8844
8,synergy_diff,1.8762
9,pick_order_1_hero,1.8437
10,dire_cheese_score,1.7858
11,radiant_elo,1.741
12,pick_order_2_hero,1.678
13,pick_order_8_hero,1.6687
14,pick_order_7_hero,1.6624
15,pick_order_4_hero,1.6519
16,dire_hero_exp_mean,1.5784
17,pick_order_9_hero,1.557
18,pick_order_6_hero,1.5448
19,radiant_synergy_score,1.5001
20,elo_diff,1.4178
21,cheese_score_diff,1.4172
22,pick_order_3_hero,1.3254
23,d_pick_77,1.3107
24,recent_form_diff,1.2874
25,radiant_hero_exp_mean,1.2704
26,dire_synergy_score,1.1201
27,radiant_recent_form,0.974
28,ban_68,0.9507
29,d_pick_119,0.8378
30,counter_diff,0.8197
31,pick_order_0_hero,0.8098
32,dire_recent_form,0.7849
33,d_pick_82,0.777
34,r_pick_81,0.7497
35,radiant_hero_exp_min,0.7009
36,ban_80,0.661
37,pick_order_9_team,0.5843
38,radiant_has_last_pick,0.5693
39,ban_34,0.5036
40,dire_hero_exp_min,0.4932
41,d_pick_85,0.4755
42,ban_93,0.4664
43,d_pick_24,0.4437
44,ban_89,0.4394
45,r_pick_126,0.424
46,r_pick_13,0.4204
47,r_pick_116,0.4179
48,d_pick_81,0.388
49,r_pick_84,0.3769
50,r_pick_45,0.372
51,pick_order_1_team,0.37
52,d_pick_108,0.3565
53,r_pick_99,0.3527
54,d_pick_113,0.3323
55,ban_62,0.3322
56,ban_41,0.3316
57,ban_51,0.3206
58,d_pick_84,0.3163
59,ban_50,0.2996
60,r_pick_46,0.2942
61,ban_59,0.2942
62,d_pick_62,0.2821
63,r_pick_73,0.2805
64,ban_38,0.2766
65,r_pick_85,0.2735
66,ban_77,0.2684
67,d_pick_106,0.2643
68,d_pick_57,0.2614
69,ban_107,0.2515
70,r_pick_34,0.2476
71,ban_106,0.2472
72,ban_52,0.2441
73,r_pick_1,0.242
74,d_pick_83,0.2407
75,d_pick_96,0.2362
76,r_pick_16,0.2353
77,d_pick_16,0.2311
78,d_pick_27,0.2304
79,ban_58,0.2299
80,r_pick_12,0.2234
81,ban_39,0.2234
82,ban_35,0.2192
83,r_pick_48,0.2185
84,r_pick_19,0.216
85,r_pick_22,0.2056
86,ban_47,0.2051
87,d_pick_47,0.2036
88,r_pick_119,0.2033
89,ban_88,0.2011
90,r_pick_95,0.1976
91,ban_90,0.1972
92,d_pick_69,0.1968
93,r_pick_27,0.1964
94,ban_57,0.1954
95,r_pick_35,0.1935
96,d_pick_32,0.1905
97,r_pick_108,0.1903
98,ban_125,0.1889
99,ban_10,0.1889
100,r_pick_57,0.1795
101,d_pick_10,0.1789
102,ban_40,0.1776
103,ban_81,0.1756
104,d_pick_3,0.1728
105,d_pick_40,0.1707
106,ban_126,0.1669
107,ban_49,0.165
108,ban_111,0.1648
109,d_pick_63,0.1647
110,d_pick_36,0.1612
111,d_pick_26,0.1593
112,ban_87,0.1559
113,ban_3,0.1541
114,ban_78,0.1525
115,ban_119,0.1523
116,ban_12,0.1457
117,d_pick_91,0.1434
118,d_pick_88,0.1415
119,ban_118,0.14
120,ban_63,0.1383
121,pick_order_2_team,0.1382
122,r_pick_4,0.1348
123,d_pick_37,0.1331
124,ban_20,0.1296
125,ban_124,0.1261
126,r_pick_53,0.1248
127,d_pick_117,0.123
128,ban_98,0.1219
129,d_pick_99,0.1215
130,ban_4,0.1208
131,r_pick_63,0.1202
132,d_pick_25,0.1196
133,d_pick_102,0.1194
134,ban_104,0.1188
135,ban_121,0.1184
136,ban_16,0.1178
137,r_pick_47,0.1171
138,ban_5,0.1151
139,d_pick_51,0.1142
140,d_pick_61,0.1125
141,ban_120,0.1124
142,d_pick_4,0.1093
143,pick_order_6_team,0.1089
144,r_pick_33,0.1079
145,d_pick_21,0.1075
146,r_pick_92,0.1074
147,ban_97,0.1072
148,r_pick_55,0.1066
149,ban_72,0.1065
150,ban_76,0.106
151,ban_73,0.1053
152,r_pick_32,0.1046
153,ban_103,0.1044
154,ban_101,0.1027
155,d_pick_46,0.1001
156,r_pick_62,0.0997
157,r_pick_93,0.0991
158,ban_109,0.0975
159,d_pick_116,0.0975
160,d_pick_28,0.0965
161,ban_2,0.0962
162,r_pick_121,0.0959
163,d_pick_1,0.0937
164,ban_108,0.0925
165,ban_44,0.0905
166,ban_60,0.0892
167,r_pick_17,0.0865
168,ban_84,0.0856
169,r_pick_69,0.085
170,r_pick_74,0.0849
171,d_pick_8,0.082
172,r_pick_68,0.0808
173,r_pick_29,0.0803
174,ban_21,0.0802
175,r_pick_125,0.0789
176,ban_82,0.0783
177,r_pick_105,0.0776
178,d_pick_45,0.0763
179,r_pick_98,0.0756
180,ban_94,0.0746
181,d_pick_124,0.0725
182,ban_100,0.0724
183,r_pick_52,0.072
184,d_pick_104,0.0714
185,r_pick_120,0.0703
186,r_pick_61,0.0691
187,d_pick_17,0.0688
188,r_pick_44,0.0679
189,d_pick_103,0.0675
190,pick_order_0_team,0.0667
191,ban_113,0.0657
192,r_pick_0,0.0655
193,ban_95,0.0647
194,ban_69,0.0634
195,d_pick_50,0.0623
196,d_pick_75,0.0599
197,d_pick_105,0.0581
198,ban_102,0.0578
199,ban_96,0.0578
200,r_pick_18,0.0576
201,d_pick_86,0.0573
202,r_pick_28,0.0535
203,d_pick_125,0.0532
204,ban_27,0.0519
205,ban_22,0.0517
206,r_pick_56,0.0513
207,d_pick_64,0.0502
208,r_pick_104,0.0501
209,r_pick_94,0.0492
210,d_pick_120,0.0479
211,d_pick_0,0.0471
212,r_pick_21,0.0455
213,d_pick_89,0.0449
214,d_pick_79,0.044
215,r_pick_38,0.0413
216,ban_11,0.0408
217,r_pick_113,0.0407
218,r_pick_7,0.0405
219,ban_31,0.0401
220,d_pick_2,0.04
221,d_pick_58,0.0384
222,r_pick_58,0.0372
223,d_pick_52,0.0371
224,ban_67,0.0368
225,ban_43,0.0363
226,r_pick_115,0.0361
227,d_pick_23,0.0355
228,r_pick_37,0.0354
229,d_pick_48,0.0351
230,r_pick_88,0.0341
231,r_pick_106,0.0336
232,d_pick_33,0.0336
233,d_pick_41,0.0322
234,d_pick_74,0.032
235,r_pick_100,0.0317
236,r_pick_42,0.0317
237,d_pick_87,0.0315
238,d_pick_54,0.0313
239,ban_112,0.0309
240,ban_75,0.03
241,r_pick_107,0.03
242,d_pick_42,0.0295
243,d_pick_95,0.0295
244,d_pick_5,0.0294
245,d_pick_20,0.0293
246,ban_116,0.0288
247,d_pick_19,0.0283
248,d_pick_92,0.0281
249,r_pick_96,0.0276
250,d_pick_66,0.0271
251,d_pick_101,0.0269
252,ban_36,0.0267
253,ban_91,0.0266
254,r_pick_39,0.0264
255,r_pick_8,0.0252
256,ban_79,0.025
257,r_pick_40,0.0231
258,d_pick_56,0.0231
259,ban_28,0.0205
260,d_pick_30,0.0198
261,ban_65,0.0193
262,r_pick_102,0.019
263,d_pick_97,0.019
264,ban_19,0.019
265,d_pick_122,0.0189
266,r_pick_75,0.0189
267,r_pick_78,0.0182
268,r_pick_109,0.0178
269,ban_42,0.0172
270,d_pick_67,0.0172
271,d_pick_112,0.0161
272,d_pick_80,0.0147
273,r_pick_76,0.0143
274,ban_71,0.0133
275,r_pick_2,0.0111
276,ban_8,0.0094
277,ban_55,0.0084
278,r_pick_59,0.0076
279,r_pick_90,0.0072
280,ban_6,0.0028
281,r_pick_80,0.0025
282,r_pick_67,0.0
283,r_pick_11,0.0
284,ban_99,0.0
285,patch,0.0
286,r_pick_65,0.0
287,r_pick_14,0.0
288,r_pick_66,0.0
289,r_pick_64,0.0
290,r_pick_15,0.0
291,ban_64,0.0
292,r_pick_10,0.0
293,r_pick_31,0.0
294,ban_61,0.0
295,r_pick_9,0.0
296,ban_56,0.0
297,r_pick_70,0.0
298,r_pick_5,0.0
299,r_pick_71,0.0
300,ban_122,0.0
301,r_pick_72,0.0
302,ban_54,0.0
303,r_pick_3,0.0
304,r_pick_77,0.0
305,ban_105,0.0
306,r_pick_79,0.0
307,r_pick_6,0.0
308,d_pick_111,0.0
309,r_pick_60,0.0
310,ban_85,0.0
311,r_pick_30,0.0
312,ban_83,0.0
313,ban_114,0.0
314,ban_86,0.0
315,d_pick_110,0.0
316,r_pick_26,0.0
317,r_pick_36,0.0
318,r_pick_25,0.0
319,r_pick_24,0.0
320,r_pick_23,0.0
321,r_pick_82,0.0
322,r_pick_41,0.0
323,ban_92,0.0
324,r_pick_43,0.0
325,r_pick_20,0.0
