rank,feature,importance
1,team_enc_diff,131
2,pick_order_5_hero,84
3,pick_order_8_hero,83
4,elo_diff,80
5,radiant_cheese_score,72
6,dire_cheese_score,70
7,pick_order_6_hero,69
8,pick_order_4_hero,66
9,cheese_score_diff,66
10,pick_order_7_hero,65
11,pick_order_1_hero,64
12,dire_hero_exp_mean,57
13,dire_team_enc,56
14,radiant_elo,54
15,pick_order_2_hero,54
16,pick_order_3_hero,53
17,radiant_hero_exp_mean,50
18,pick_order_9_hero,49
19,pick_order_0_hero,44
20,dire_elo,42
21,recent_form_diff,40
22,radiant_team_enc,38
23,dire_recent_form,29
24,radiant_recent_form,17
25,d_pick_77,11
26,ban_38,11
27,d_pick_119,11
28,d_pick_62,10
29,ban_10,8
30,r_pick_81,8
31,r_pick_126,8
32,dire_hero_exp_min,8
33,r_pick_63,7
34,r_pick_116,7
35,d_pick_82,6
36,r_pick_35,6
37,d_pick_24,6
38,ban_68,6
39,ban_20,5
40,ban_119,5
41,r_pick_26,5
42,ban_61,5
43,ban_72,5
44,d_pick_81,5
45,radiant_hero_exp_min,5
46,r_pick_99,5
47,ban_122,5
48,d_pick_47,5
49,ban_80,4
50,r_pick_46,4
51,ban_126,4
52,ban_103,4
53,r_pick_25,4
54,d_pick_63,4
55,ban_45,4
56,ban_12,4
57,d_pick_120,4
58,ban_58,4
59,r_pick_84,4
60,r_pick_98,4
61,ban_88,3
62,ban_35,3
63,ban_120,3
64,ban_44,3
65,ban_36,3
66,d_pick_37,3
67,ban_32,3
68,d_pick_27,3
69,ban_62,3
70,ban_34,3
71,ban_118,3
72,ban_93,3
73,ban_15,3
74,ban_104,3
75,d_pick_116,3
76,ban_2,3
77,ban_111,3
78,d_pick_126,3
79,d_pick_85,2
80,ban_69,2
81,d_pick_98,2
82,d_pick_102,2
83,r_pick_73,2
84,ban_57,2
85,d_pick_25,2
86,ban_7,2
87,ban_16,2
88,r_pick_118,2
89,ban_25,2
90,r_pick_62,2
91,ban_31,2
92,ban_114,2
93,ban_77,2
94,ban_121,2
95,ban_125,2
96,pick_order_0_team,2
97,pick_order_1_team,2
98,r_pick_13,2
99,ban_81,2
100,ban_86,2
101,ban_117,2
102,ban_76,2
103,ban_100,2
104,ban_106,1
105,ban_3,1
106,ban_107,1
107,r_pick_10,1
108,r_pick_77,1
109,ban_5,1
110,r_pick_14,1
111,r_pick_68,1
112,r_pick_18,1
113,d_pick_113,1
114,r_pick_91,1
115,d_pick_104,1
116,ban_21,1
117,ban_108,1
118,d_pick_84,1
119,r_pick_96,1
120,d_pick_88,1
121,pick_order_9_team,1
122,r_pick_1,1
123,d_pick_22,1
124,d_pick_35,1
125,d_pick_13,1
126,d_pick_44,1
127,d_pick_46,1
128,d_pick_9,1
129,d_pick_4,1
130,d_pick_1,1
131,r_pick_125,1
132,r_pick_123,1
133,r_pick_120,1
134,d_pick_73,1
135,ban_95,1
136,ban_96,1
137,ban_73,1
138,d_pick_26,1
139,r_pick_22,1
140,r_pick_24,1
141,ban_91,1
142,r_pick_27,1
143,r_pick_54,1
144,ban_42,1
145,ban_63,1
146,ban_39,1
147,ban_48,1
148,r_pick_48,1
149,ban_51,1
150,r_pick_57,1
151,r_pick_33,1
152,ban_70,1
153,ban_37,1
154,r_pick_42,0
155,r_pick_5,0
156,r_pick_6,0
157,r_pick_119,0
158,r_pick_124,0
159,r_pick_122,0
160,r_pick_121,0
161,r_pick_31,0
162,r_pick_43,0
163,r_pick_4,0
164,r_pick_117,0
165,r_pick_7,0
166,r_pick_44,0
167,r_pick_115,0
168,r_pick_114,0
169,r_pick_45,0
170,r_pick_113,0
171,r_pick_112,0
172,r_pick_111,0
173,r_pick_30,0
174,r_pick_110,0
175,r_pick_109,0
176,r_pick_108,0
177,d_pick_0,0
178,d_pick_6,0
179,r_pick_41,0
180,d_pick_2,0
181,d_pick_23,0
182,r_pick_36,0
183,d_pick_21,0
184,d_pick_20,0
185,d_pick_19,0
186,d_pick_18,0
187,r_pick_37,0
188,d_pick_17,0
189,r_pick_2,0
190,d_pick_16,0
191,d_pick_15,0
192,d_pick_14,0
193,r_pick_38,0
194,d_pick_12,0
195,d_pick_11,0
196,r_pick_39,0
197,d_pick_10,0
198,r_pick_3,0
199,r_pick_32,0
200,d_pick_8,0
201,d_pick_7,0
202,r_pick_107,0
203,d_pick_5,0
204,r_pick_40,0
205,d_pick_3,0
206,r_pick_8,0
207,r_pick_59,0
208,r_pick_47,0
209,r_pick_69,0
210,r_pick_80,0
211,r_pick_53,0
212,r_pick_15,0
213,r_pick_79,0
