rank,feature,importance
1,team_enc_diff,234
2,pick_order_4_hero,78
3,pick_order_5_hero,78
4,radiant_cheese_score,65
5,pick_order_1_hero,64
6,dire_elo,62
7,radiant_team_enc,62
8,dire_team_enc,61
9,radiant_counter_score,60
10,pick_order_8_hero,59
11,dire_cheese_score,59
12,elo_diff,58
13,pick_order_3_hero,55
14,recent_form_diff,53
15,cheese_score_diff,53
16,pick_order_2_hero,51
17,radiant_hero_exp_mean,48
18,dire_synergy_score,48
19,pick_order_7_hero,48
20,synergy_diff,48
21,radiant_elo,47
22,pick_order_0_hero,46
23,pick_order_9_hero,39
24,radiant_synergy_score,39
25,pick_order_6_hero,38
26,dire_hero_exp_mean,33
27,counter_diff,24
28,dire_recent_form,22
29,ban_63,18
30,radiant_recent_form,17
31,d_pick_119,17
32,d_pick_77,14
33,ban_10,13
34,ban_68,11
35,r_pick_126,10
36,pick_order_0_team,7
37,r_pick_84,7
38,dire_hero_exp_min,7
39,ban_38,6
40,ban_117,6
41,ban_20,6
42,ban_62,5
43,ban_14,5
44,radiant_hero_exp_min,5
45,ban_88,5
46,r_pick_13,5
47,ban_36,4
48,ban_34,4
49,ban_103,4
50,ban_90,4
51,ban_27,4
52,r_pick_62,4
53,r_pick_25,3
54,ban_51,3
55,ban_61,3
56,ban_45,3
57,ban_76,3
58,d_pick_82,3
59,ban_104,3
60,d_pick_10,3
61,d_pick_62,3
62,r_pick_68,3
63,ban_118,3
64,ban_119,3
65,ban_32,3
66,pick_order_1_team,3
67,ban_81,2
68,ban_108,2
69,r_pick_99,2
70,ban_9,2
71,ban_12,2
72,ban_16,2
73,r_pick_46,2
74,ban_93,2
75,ban_125,2
76,ban_59,2
77,ban_98,2
78,ban_35,2
79,ban_111,2
80,ban_106,2
81,ban_21,1
82,ban_18,1
83,ban_57,1
84,ban_72,1
85,r_pick_85,1
86,ban_77,1
87,r_pick_98,1
88,ban_44,1
89,ban_86,1
90,r_pick_18,1
91,d_pick_24,1
92,d_pick_63,1
93,d_pick_14,1
94,ban_126,1
95,d_pick_47,1
96,r_pick_10,1
97,ban_122,1
98,r_pick_105,0
99,r_pick_106,0
100,r_pick_107,0
101,r_pick_108,0
102,r_pick_110,0
103,r_pick_109,0
104,r_pick_103,0
105,d_pick_31,0
106,r_pick_111,0
107,d_pick_30,0
108,d_pick_29,0
109,d_pick_28,0
110,r_pick_112,0
111,r_pick_104,0
112,d_pick_11,0
113,r_pick_102,0
114,d_pick_38,0
115,r_pick_95,0
116,r_pick_96,0
117,r_pick_97,0
118,d_pick_41,0
119,d_pick_40,0
120,d_pick_39,0
121,d_pick_37,0
122,r_pick_113,0
123,d_pick_36,0
124,d_pick_35,0
125,r_pick_100,0
126,d_pick_34,0
127,r_pick_101,0
128,d_pick_33,0
129,d_pick_32,0
130,r_pick_114,0
