rank,feature,coefficient,abs_coefficient
1,team_enc_diff,0.500099,0.500099
2,radiant_team_enc,0.415163,0.415163
3,dire_team_enc,-0.349244,0.349244
4,d_pick_77,-0.2562,0.2562
5,d_pick_10,-0.223932,0.223932
6,r_pick_81,0.220887,0.220887
7,r_pick_126,0.214443,0.214443
8,d_pick_119,0.207315,0.207315
9,r_pick_1,-0.184885,0.184885
10,r_pick_84,0.183639,0.183639
11,ban_68,0.169353,0.169353
12,ban_78,0.167645,0.167645
13,ban_34,0.161479,0.161479
14,dire_hero_exp_mean,0.159358,0.159358
15,counter_diff,-0.157747,0.157747
16,radiant_counter_score,-0.157747,0.157747
17,ban_90,0.153957,0.153957
18,r_pick_13,0.152135,0.152135
19,r_pick_46,-0.151843,0.151843
20,r_pick_108,0.149779,0.149779
21,r_pick_116,0.142592,0.142592
22,radiant_hero_exp_mean,-0.136467,0.136467
23,r_pick_73,0.136334,0.136334
24,elo_diff,-0.134081,0.134081
25,d_pick_81,-0.130645,0.130645
26,r_pick_27,-0.127359,0.127359
27,d_pick_21,0.124977,0.124977
28,r_pick_48,0.123101,0.123101
29,d_pick_62,-0.122992,0.122992
30,ban_57,0.122836,0.122836
31,ban_4,0.122485,0.122485
32,d_pick_3,0.122116,0.122116
33,ban_119,0.121507,0.121507
34,ban_101,0.12039,0.12039
35,r_pick_5,-0.120357,0.120357
36,r_pick_68,-0.118995,0.118995
37,r_pick_62,0.118948,0.118948
38,r_pick_9,-0.118275,0.118275
39,d_pick_42,0.117971,0.117971
40,d_pick_8,0.116266,0.116266
41,ban_42,-0.11466,0.11466
42,r_pick_74,-0.114465,0.114465
43,d_pick_57,-0.112932,0.112932
44,ban_67,0.112364,0.112364
45,r_pick_11,-0.109951,0.109951
46,ban_32,0.109162,0.109162
47,ban_39,0.108958,0.108958
48,ban_10,-0.108389,0.108389
49,d_pick_28,0.108197,0.108197
50,r_pick_15,0.108108,0.108108
51,ban_81,0.107699,0.107699
52,d_pick_13,-0.107268,0.107268
53,r_pick_57,0.106348,0.106348
54,r_pick_16,0.106315,0.106315
55,ban_79,0.104776,0.104776
56,r_pick_96,-0.104417,0.104417
57,r_pick_100,-0.103751,0.103751
58,ban_87,-0.103299,0.103299
59,r_pick_99,-0.103273,0.103273
60,ban_50,0.102469,0.102469
61,ban_58,0.101979,0.101979
62,ban_40,0.098557,0.098557
63,dire_elo,0.09778,0.09778
64,ban_88,-0.097234,0.097234
65,r_pick_37,-0.096934,0.096934
66,ban_15,0.095947,0.095947
67,pick_order_2_team,-0.095464,0.095464
68,pick_order_4_team,0.095464,0.095464
69,pick_order_6_team,-0.095464,0.095464
70,pick_order_1_team,-0.095464,0.095464
71,pick_order_8_team,0.095464,0.095464
72,dire_cheese_score,-0.095136,0.095136
73,d_pick_100,0.093509,0.093509
74,r_pick_92,-0.093307,0.093307
75,d_pick_48,-0.092952,0.092952
76,ban_117,0.092915,0.092915
77,d_pick_71,-0.092867,0.092867
78,ban_121,-0.092284,0.092284
79,d_pick_59,0.092094,0.092094
80,r_pick_61,-0.091502,0.091502
81,ban_51,0.089839,0.089839
82,r_pick_123,0.089574,0.089574
83,pick_order_4_hero,0.089346,0.089346
84,d_pick_96,0.089294,0.089294
85,r_pick_114,-0.088855,0.088855
86,r_pick_56,0.088818,0.088818
87,recent_form_diff,0.087943,0.087943
88,r_pick_95,0.087891,0.087891
89,d_pick_117,0.087774,0.087774
90,ban_125,-0.08759,0.08759
91,radiant_elo,-0.087033,0.087033
92,d_pick_102,0.086344,0.086344
93,r_pick_17,-0.085246,0.085246
94,r_pick_12,0.084729,0.084729
95,d_pick_19,-0.084276,0.084276
96,d_pick_109,-0.084186,0.084186
97,d_pick_121,0.083866,0.083866
98,ban_111,0.083529,0.083529
99,synergy_diff,-0.083388,0.083388
100,ban_72,0.082876,0.082876
101,d_pick_94,-0.080788,0.080788
102,ban_36,0.080745,0.080745
103,pick_order_9_team,0.080215,0.080215
104,pick_order_7_team,-0.080215,0.080215
105,radiant_has_last_pick,-0.080215,0.080215
106,pick_order_5_team,0.080215,0.080215
107,pick_order_0_team,-0.080215,0.080215
108,pick_order_3_team,-0.080215,0.080215
109,ban_73,0.080085,0.080085
110,r_pick_105,0.08002,0.08002
